Event;Timestamp;Framecount;SessionID;Email;BCIState;InputWindow;InputWindowOrder;InterTrialTimer;InputWindowTimer;GameState;CurrentFabAlarm;AccInputTrialsLeft;AccInputRate;FabInputTrialsLeft;FabInputRate;RejInputTrialsLeft;RejInputRate;AssistSuccessTrialsLeft;AssistSuccessRate;AssistFailTrialsLeft;AssistFailRate;ExplicitShamTrialsLeft;ExplicitShamRate;TrialResult;BCIConfidence;InputNumber;TrialGoal
BCIStateUpdated;2021-01-25 15:23:03.0327;1;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-01-25 15:23:05.5433;70;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;ReceivingHeader;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-01-25 15:23:05.6496;106;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GameRunning;2021-01-25 15:23:07.2265;870;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;NULL;Closed;0;0.0000;0.0000;Running;0.0000;10;0.0000;0;0.0000;10;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
InputWindowChange;2021-01-25 15:23:15.6233;4556;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;NULL;Open;0;0.0000;0.0000;Running;1.7177;10;0.0000;0;0.0000;10;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
MotorImagery;2021-01-25 15:23:17.1533;5208;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6702;1;NULL
Rest;2021-01-25 15:23:17.9150;5537;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6132;1;NULL
InputWindowChange;2021-01-25 15:23:19.6220;6261;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;NULL;Closed;0;0.0012;0.0000;Running;1.7177;10;0.0000;0;0.0000;10;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-25 15:23:19.6240;6261;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;NULL;Closed;0;0.0012;0.0000;Running;1.7177;10;0.0000;0;0.0000;9;0.0500;0;0.0000;0;0.0000;0;0.0000;RejInput;NULL;NULL;RejInput
MotorImagery;2021-01-25 15:23:20.7246;6725;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6607;2;NULL
Rest;2021-01-25 15:23:21.6174;7107;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6384;2;NULL
MotorImagery;2021-01-25 15:23:21.6194;7108;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6567;3;NULL
Rest;2021-01-25 15:23:21.7481;7159;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6313;3;NULL
MotorImagery;2021-01-25 15:23:24.4315;8268;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6464;4;NULL
Rest;2021-01-25 15:23:24.4335;8269;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.5952;4;NULL
InputWindowChange;2021-01-25 15:23:30.4221;10923;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;NULL;Open;1;0.0012;0.0000;Running;1.5103;10;0.0000;0;0.0000;9;0.0500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
MotorImagery;2021-01-25 15:23:32.4773;11857;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6594;5;NULL
InputWindowChange;2021-01-25 15:23:32.4783;11857;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;NULL;Closed;1;-1.9401;0.0000;Running;1.5103;10;0.0000;0;0.0000;9;0.0500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-25 15:23:32.4793;11857;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;NULL;Closed;1;-1.9401;0.0000;Running;1.5103;9;0.0500;0;0.0000;9;0.0500;0;0.0000;0;0.0000;0;0.0000;AccInput;NULL;NULL;AccInput
Rest;2021-01-25 15:23:32.9949;12085;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6338;5;NULL
MotorImagery;2021-01-25 15:23:35.4126;13151;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6532;6;NULL
Rest;2021-01-25 15:23:35.4156;13152;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.5997;6;NULL
InputWindowChange;2021-01-25 15:23:42.2846;16055;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;NULL;Open;2;-1.9401;0.0000;Running;2.9888;9;0.0500;0;0.0000;9;0.0500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
MotorImagery;2021-01-25 15:23:43.7286;16662;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6442;7;NULL
Rest;2021-01-25 15:23:43.8513;16713;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6331;7;NULL
MotorImagery;2021-01-25 15:23:43.9750;16764;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6449;8;NULL
Rest;2021-01-25 15:23:43.9779;16765;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6206;8;NULL
MotorImagery;2021-01-25 15:23:44.1026;16819;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6561;9;NULL
Rest;2021-01-25 15:23:44.4928;16982;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6339;9;NULL
MotorImagery;2021-01-25 15:23:44.4968;16984;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6526;10;NULL
Rest;2021-01-25 15:23:45.2636;17307;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6324;10;NULL
MotorImagery;2021-01-25 15:23:45.5080;17410;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6439;11;NULL
