Event;Timestamp;Framecount;SessionID;Email;BCIState;InputWindow;InputWindowOrder;InterTrialTimer;InputWindowTimer;GameState;CurrentFabAlarm;AccInputTrialsLeft;AccInputRate;FabInputTrialsLeft;FabInputRate;RejInputTrialsLeft;RejInputRate;AssistSuccessTrialsLeft;AssistSuccessRate;AssistFailTrialsLeft;AssistFailRate;ExplicitShamTrialsLeft;ExplicitShamRate;TrialResult;BCIConfidence;InputNumber;TrialGoal
BCIStateUpdated;2021-01-25 15:29:23.9446;1;7b38f0c796a4069a4297af7f198927d2;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-01-25 15:29:26.4504;99;7b38f0c796a4069a4297af7f198927d2;anonymous;ReceivingHeader;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-01-25 15:29:27.5291;101;7b38f0c796a4069a4297af7f198927d2;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GameRunning;2021-01-25 15:29:29.4897;1030;7b38f0c796a4069a4297af7f198927d2;anonymous;NULL;Closed;0;0.0000;0.0000;Running;0.0000;10;0.0000;6;0.0000;4;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
MotorImagery;2021-01-25 15:29:42.1179;7772;7b38f0c796a4069a4297af7f198927d2;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6676;1;NULL
InputWindowChange;2021-01-25 15:29:43.2685;8323;7b38f0c796a4069a4297af7f198927d2;anonymous;NULL;Open;0;0.0000;0.0000;Running;2.4848;10;0.0000;6;0.0000;4;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
Rest;2021-01-25 15:29:45.6941;9452;7b38f0c796a4069a4297af7f198927d2;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6354;1;NULL
InputWindowChange;2021-01-25 15:29:47.2670;10182;7b38f0c796a4069a4297af7f198927d2;anonymous;NULL;Closed;0;0.0008;0.0000;Running;2.4848;10;0.0000;6;0.0000;4;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-25 15:29:47.2689;10182;7b38f0c796a4069a4297af7f198927d2;anonymous;NULL;Closed;0;0.0008;0.0000;Running;2.4848;11;0.0000;6;0.0000;2;0.0500;0;0.0000;0;0.0000;0;0.0000;RejInput;NULL;NULL;AccInput
MotorImagery;2021-01-25 15:29:47.6001;10341;7b38f0c796a4069a4297af7f198927d2;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6609;2;NULL
Rest;2021-01-25 15:29:49.2589;11118;7b38f0c796a4069a4297af7f198927d2;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6326;2;NULL
MotorImagery;2021-01-25 15:29:50.1615;11540;7b38f0c796a4069a4297af7f198927d2;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6440;3;NULL
Rest;2021-01-25 15:29:50.2922;11596;7b38f0c796a4069a4297af7f198927d2;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6293;3;NULL
MotorImagery;2021-01-25 15:29:55.1503;13773;7b38f0c796a4069a4297af7f198927d2;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6431;4;NULL
Rest;2021-01-25 15:29:55.1533;13774;7b38f0c796a4069a4297af7f198927d2;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6302;4;NULL
MotorImagery;2021-01-25 15:29:56.5527;14422;7b38f0c796a4069a4297af7f198927d2;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6456;5;NULL
Rest;2021-01-25 15:29:56.5547;14423;7b38f0c796a4069a4297af7f198927d2;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6310;5;NULL
MotorImagery;2021-01-25 15:29:56.8031;14541;7b38f0c796a4069a4297af7f198927d2;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6437;6;NULL
Rest;2021-01-25 15:29:56.9297;14601;7b38f0c796a4069a4297af7f198927d2;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6280;6;NULL
InputWindowChange;2021-01-25 15:29:58.0683;15133;7b38f0c796a4069a4297af7f198927d2;anonymous;NULL;Open;1;0.0008;0.0000;Running;1.5382;11;0.0000;6;0.0000;2;0.0500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
MotorImagery;2021-01-25 15:29:58.2149;15201;7b38f0c796a4069a4297af7f198927d2;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6447;7;NULL
InputWindowChange;2021-01-25 15:29:58.2149;15201;7b38f0c796a4069a4297af7f198927d2;anonymous;NULL;Closed;1;-3.8504;0.0000;Running;1.5382;11;0.0000;6;0.0000;2;0.0500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-25 15:29:58.2169;15201;7b38f0c796a4069a4297af7f198927d2;anonymous;NULL;Closed;1;-3.8504;0.0000;Running;1.5382;10;0.0500;6;0.0000;2;0.0500;0;0.0000;0;0.0000;0;0.0000;AccInput;NULL;NULL;AccInput
