Event;Timestamp;Framecount;SessionID;Email;BCIConfidence;BCIState
Sample;2021-01-26 09:01:46.9216;98;2715aba63b96d383a8bd285e950eb971;anonymous;0.1486;ReceivingData
Sample;2021-01-26 09:01:46.9375;99;2715aba63b96d383a8bd285e950eb971;anonymous;0.1325;ReceivingData
Sample;2021-01-26 09:01:46.9485;100;2715aba63b96d383a8bd285e950eb971;anonymous;0.1129;ReceivingData
Sample;2021-01-26 09:01:46.9565;101;2715aba63b96d383a8bd285e950eb971;anonymous;0.1165;ReceivingData
Sample;2021-01-26 09:01:46.9704;102;2715aba63b96d383a8bd285e950eb971;anonymous;0.1240;ReceivingData
Sample;2021-01-26 09:01:46.9844;103;2715aba63b96d383a8bd285e950eb971;anonymous;0.1043;ReceivingData
Sample;2021-01-26 09:01:46.9994;104;2715aba63b96d383a8bd285e950eb971;anonymous;0.1237;ReceivingData
Sample;2021-01-26 09:01:47.0103;105;2715aba63b96d383a8bd285e950eb971;anonymous;0.0566;ReceivingData
Sample;2021-01-26 09:01:47.0313;106;2715aba63b96d383a8bd285e950eb971;anonymous;0.0206;ReceivingData
Sample;2021-01-26 09:01:47.0462;107;2715aba63b96d383a8bd285e950eb971;anonymous;0.0178;ReceivingData
Sample;2021-01-26 09:01:47.0612;108;2715aba63b96d383a8bd285e950eb971;anonymous;0.0183;ReceivingData
Sample;2021-01-26 09:01:47.0741;109;2715aba63b96d383a8bd285e950eb971;anonymous;0.0179;ReceivingData
Sample;2021-01-26 09:01:47.0801;110;2715aba63b96d383a8bd285e950eb971;anonymous;0.0175;ReceivingData
Sample;2021-01-26 09:01:47.0891;111;2715aba63b96d383a8bd285e950eb971;anonymous;0.0177;ReceivingData
Sample;2021-01-26 09:01:47.1150;112;2715aba63b96d383a8bd285e950eb971;anonymous;0.0168;ReceivingData
Sample;2021-01-26 09:01:47.1200;113;2715aba63b96d383a8bd285e950eb971;anonymous;0.0206;ReceivingData
Sample;2021-01-26 09:01:47.1360;114;2715aba63b96d383a8bd285e950eb971;anonymous;0.0263;ReceivingData
Sample;2021-01-26 09:01:47.1470;115;2715aba63b96d383a8bd285e950eb971;anonymous;0.0290;ReceivingData
Sample;2021-01-26 09:01:47.1589;116;2715aba63b96d383a8bd285e950eb971;anonymous;0.0302;ReceivingData
Sample;2021-01-26 09:01:47.1809;117;2715aba63b96d383a8bd285e950eb971;anonymous;0.0298;ReceivingData
Sample;2021-01-26 09:01:47.1878;118;2715aba63b96d383a8bd285e950eb971;anonymous;0.0302;ReceivingData
