Event;Timestamp;Framecount;SessionID;Email;BCIState;InputWindow;InputWindowOrder;InterTrialTimer;InputWindowTimer;GameState;CurrentFabAlarm;AccInputTrialsLeft;AccInputRate;FabInputTrialsLeft;FabInputRate;RejInputTrialsLeft;RejInputRate;AssistSuccessTrialsLeft;AssistSuccessRate;AssistFailTrialsLeft;AssistFailRate;ExplicitShamTrialsLeft;ExplicitShamRate;TrialResult;TrialGoal;BCIConfidence;InputNumber
BCIStateUpdated;2021-01-26 10:56:52.0036;1;1d63adebd0521fedbb068400054e3601;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-01-26 10:56:54.7500;16;1d63adebd0521fedbb068400054e3601;anonymous;ReceivingHeader;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-01-26 10:56:54.8364;23;1d63adebd0521fedbb068400054e3601;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GameRunning;2021-01-26 10:56:56.3472;135;1d63adebd0521fedbb068400054e3601;anonymous;NULL;Closed;0;0.0000;0.0000;Running;0.0000;10;0.0000;0;0.0000;10;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
InputWindowChange;2021-01-26 10:57:04.8484;765;1d63adebd0521fedbb068400054e3601;anonymous;NULL;Open;0;0.0000;0.0000;Running;2.9126;10;0.0000;0;0.0000;10;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
InputWindowChange;2021-01-26 10:57:08.8215;1035;1d63adebd0521fedbb068400054e3601;anonymous;NULL;Closed;0;0.0021;0.0000;Running;2.9126;10;0.0000;0;0.0000;10;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-26 10:57:08.8325;1035;1d63adebd0521fedbb068400054e3601;anonymous;NULL;Closed;0;0.0021;0.0000;Running;2.9126;10;0.0000;0;0.0000;9;0.0500;0;0.0000;0;0.0000;0;0.0000;RejInput;RejInput;NULL;NULL
InputWindowChange;2021-01-26 10:57:19.1983;1727;1d63adebd0521fedbb068400054e3601;anonymous;NULL;Open;1;0.0021;0.0000;Running;1.1268;10;0.0000;0;0.0000;9;0.0500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
MotorImagery;2021-01-26 10:57:20.6559;1824;1d63adebd0521fedbb068400054e3601;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7118;1
InputWindowChange;2021-01-26 10:57:20.6589;1824;1d63adebd0521fedbb068400054e3601;anonymous;NULL;Closed;1;-2.5271;0.0000;Running;1.1268;10;0.0000;0;0.0000;9;0.0500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-26 10:57:20.6659;1824;1d63adebd0521fedbb068400054e3601;anonymous;NULL;Closed;1;-2.5271;0.0000;Running;1.1268;9;0.0500;0;0.0000;9;0.0500;0;0.0000;0;0.0000;0;0.0000;AccInput;AccInput;NULL;NULL
Rest;2021-01-26 10:57:21.1516;1859;1d63adebd0521fedbb068400054e3601;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6859;1
MotorImagery;2021-01-26 10:57:21.3055;1869;1d63adebd0521fedbb068400054e3601;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7127;2
Rest;2021-01-26 10:57:21.3085;1870;1d63adebd0521fedbb068400054e3601;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6611;2
InputWindowChange;2021-01-26 10:57:30.8157;2509;1d63adebd0521fedbb068400054e3601;anonymous;NULL;Open;2;-2.5271;0.0000;Running;2.5051;9;0.0500;0;0.0000;9;0.0500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
InputWindowChange;2021-01-26 10:57:34.8111;2785;1d63adebd0521fedbb068400054e3601;anonymous;NULL;Closed;2;-2.5087;0.0000;Running;2.5051;9;0.0500;0;0.0000;9;0.0500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-26 10:57:34.8130;2785;1d63adebd0521fedbb068400054e3601;anonymous;NULL;Closed;2;-2.5087;0.0000;Running;2.5051;10;0.0500;0;0.0000;7;0.1000;0;0.0000;0;0.0000;0;0.0000;RejInput;AccInput;NULL;NULL
InputWindowChange;2021-01-26 10:57:45.7773;3519;1d63adebd0521fedbb068400054e3601;anonymous;NULL;Open;3;-2.5087;0.0000;Running;1.8577;10;0.0500;0;0.0000;7;0.1000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
InputWindowChange;2021-01-26 10:57:49.7779;3781;1d63adebd0521fedbb068400054e3601;anonymous;NULL;Closed;3;-2.4932;0.0000;Running;1.8577;10;0.0500;0;0.0000;7;0.1000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-26 10:57:49.7809;3781;1d63adebd0521fedbb068400054e3601;anonymous;NULL;Closed;3;-2.4932;0.0000;Running;1.8577;11;0.0500;0;0.0000;5;0.1500;0;0.0000;0;0.0000;0;0.0000;RejInput;AccInput;NULL;NULL
InputWindowChange;2021-01-26 10:58:00.9439;4538;1d63adebd0521fedbb068400054e3601;anonymous;NULL;Open;4;-2.4932;0.0000;Running;2.9921;11;0.0500;0;0.0000;5;0.1500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
MotorImagery;2021-01-26 10:58:02.9814;4677;1d63adebd0521fedbb068400054e3601;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7204;3
InputWindowChange;2021-01-26 10:58:02.9814;4677;1d63adebd0521fedbb068400054e3601;anonymous;NULL;Closed;4;-4.4339;0.0000;Running;2.9921;11;0.0500;0;0.0000;5;0.1500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-26 10:58:02.9834;4677;1d63adebd0521fedbb068400054e3601;anonymous;NULL;Closed;4;-4.4339;0.0000;Running;2.9921;10;0.1000;0;0.0000;5;0.1500;0;0.0000;0;0.0000;0;0.0000;AccInput;AccInput;NULL;NULL
Rest;2021-01-26 10:58:04.0801;4753;1d63adebd0521fedbb068400054e3601;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6818;3
InputWindowChange;2021-01-26 10:58:13.1157;5362;1d63adebd0521fedbb068400054e3601;anonymous;NULL;Open;5;-4.4339;0.0000;Running;2.3695;10;0.1000;0;0.0000;5;0.1500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
InputWindowChange;2021-01-26 10:58:17.1171;5627;1d63adebd0521fedbb068400054e3601;anonymous;NULL;Closed;5;-4.4218;0.0000;Running;2.3695;10;0.1000;0;0.0000;5;0.1500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-26 10:58:17.1181;5627;1d63adebd0521fedbb068400054e3601;anonymous;NULL;Closed;5;-4.4218;0.0000;Running;2.3695;11;0.1000;0;0.0000;3;0.2000;0;0.0000;0;0.0000;0;0.0000;RejInput;AccInput;NULL;NULL
MotorImagery;2021-01-26 10:58:27.1136;6303;1d63adebd0521fedbb068400054e3601;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7492;4
Rest;2021-01-26 10:58:28.1134;6374;1d63adebd0521fedbb068400054e3601;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6657;4
InputWindowChange;2021-01-26 10:58:28.3039;6386;1d63adebd0521fedbb068400054e3601;anonymous;NULL;Open;6;-4.4218;0.0000;Running;1.5493;11;0.1000;0;0.0000;3;0.2000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
InputWindowChange;2021-01-26 10:58:32.2928;6665;1d63adebd0521fedbb068400054e3601;anonymous;NULL;Closed;6;-4.4105;0.0000;Running;1.5493;11;0.1000;0;0.0000;3;0.2000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-26 10:58:32.2998;6665;1d63adebd0521fedbb068400054e3601;anonymous;NULL;Closed;6;-4.4105;0.0000;Running;1.5493;12;0.1000;0;0.0000;1;0.2500;0;0.0000;0;0.0000;0;0.0000;RejInput;AccInput;NULL;NULL
MotorImagery;2021-01-26 10:58:37.8249;7047;1d63adebd0521fedbb068400054e3601;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7051;5
Rest;2021-01-26 10:58:37.8478;7048;1d63adebd0521fedbb068400054e3601;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6399;5
InputWindowChange;2021-01-26 10:58:43.4399;7418;1d63adebd0521fedbb068400054e3601;anonymous;NULL;Open;7;-4.4105;0.0000;Running;1.2580;12;0.1000;0;0.0000;1;0.2500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
MotorImagery;2021-01-26 10:58:44.8416;7514;1d63adebd0521fedbb068400054e3601;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7005;6
InputWindowChange;2021-01-26 10:58:44.8426;7514;1d63adebd0521fedbb068400054e3601;anonymous;NULL;Closed;7;-6.9925;0.0000;Running;1.2580;12;0.1000;0;0.0000;1;0.2500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-26 10:58:44.8436;7514;1d63adebd0521fedbb068400054e3601;anonymous;NULL;Closed;7;-6.9925;0.0000;Running;1.2580;11;0.1500;0;0.0000;1;0.2500;0;0.0000;0;0.0000;0;0.0000;AccInput;AccInput;NULL;NULL
Rest;2021-01-26 10:58:45.4781;7557;1d63adebd0521fedbb068400054e3601;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6687;6
InputWindowChange;2021-01-26 10:58:55.1559;8211;1d63adebd0521fedbb068400054e3601;anonymous;NULL;Open;8;-6.9925;0.0000;Running;1.9064;11;0.1500;0;0.0000;1;0.2500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
InputWindowChange;2021-01-26 10:58:59.1574;8482;1d63adebd0521fedbb068400054e3601;anonymous;NULL;Closed;8;-6.9848;0.0000;Running;1.9064;11;0.1500;0;0.0000;1;0.2500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-26 10:58:59.1584;8482;1d63adebd0521fedbb068400054e3601;anonymous;NULL;Closed;8;-6.9848;0.0000;Running;1.9064;12;0.1500;0;0.0000;0;0.3000;0;0.0000;0;0.0000;0;0.0000;RejInput;AccInput;NULL;NULL
InputWindowChange;2021-01-26 10:59:09.5248;9187;1d63adebd0521fedbb068400054e3601;anonymous;NULL;Open;9;-6.9848;0.0000;Running;1.5885;12;0.1500;0;0.0000;0;0.3000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
InputWindowChange;2021-01-26 10:59:13.5159;9458;1d63adebd0521fedbb068400054e3601;anonymous;NULL;Closed;9;-6.9819;0.0000;Running;1.5885;12;0.1500;0;0.0000;0;0.3000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-26 10:59:13.5179;9458;1d63adebd0521fedbb068400054e3601;anonymous;NULL;Closed;9;-6.9819;0.0000;Running;1.5885;13;0.1500;0;0.0000;0;0.3500;0;0.0000;0;0.0000;0;0.0000;RejInput;AccInput;NULL;NULL
InputWindowChange;2021-01-26 10:59:24.5404;10221;1d63adebd0521fedbb068400054e3601;anonymous;NULL;Open;10;-6.9819;0.0000;Running;2.4261;13;0.1500;0;0.0000;0;0.3500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
MotorImagery;2021-01-26 10:59:27.6848;10441;1d63adebd0521fedbb068400054e3601;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7304;7
InputWindowChange;2021-01-26 10:59:27.6848;10441;1d63adebd0521fedbb068400054e3601;anonymous;NULL;Closed;10;-7.8146;0.0000;Running;2.4261;13;0.1500;0;0.0000;0;0.3500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-26 10:59:27.6858;10441;1d63adebd0521fedbb068400054e3601;anonymous;NULL;Closed;10;-7.8146;0.0000;Running;2.4261;12;0.2000;0;0.0000;0;0.3500;0;0.0000;0;0.0000;0;0.0000;AccInput;AccInput;NULL;NULL
Rest;2021-01-26 10:59:28.0588;10466;1d63adebd0521fedbb068400054e3601;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6917;7
InputWindowChange;2021-01-26 10:59:37.1396;11087;1d63adebd0521fedbb068400054e3601;anonymous;NULL;Open;11;-7.8146;0.0000;Running;2.6413;12;0.2000;0;0.0000;0;0.3500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
InputWindowChange;2021-01-26 10:59:41.1283;11354;1d63adebd0521fedbb068400054e3601;anonymous;NULL;Closed;11;-7.8062;0.0000;Running;2.6413;12;0.2000;0;0.0000;0;0.3500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-26 10:59:41.1383;11354;1d63adebd0521fedbb068400054e3601;anonymous;NULL;Closed;11;-7.8062;0.0000;Running;2.6413;13;0.2000;0;0.0000;0;0.4000;0;0.0000;0;0.0000;0;0.0000;RejInput;AccInput;NULL;NULL
MotorImagery;2021-01-26 10:59:45.1733;11632;1d63adebd0521fedbb068400054e3601;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7214;8
Rest;2021-01-26 10:59:46.9490;11754;1d63adebd0521fedbb068400054e3601;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6969;8
InputWindowChange;2021-01-26 10:59:51.4814;12052;1d63adebd0521fedbb068400054e3601;anonymous;NULL;Open;12;-7.8062;0.0000;Running;1.6774;13;0.2000;0;0.0000;0;0.4000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
