Event;Timestamp;Framecount;SessionID;Email;BCIConfidence;BCIState
Sample;2021-01-26 10:56:54.8414;23;1d63adebd0521fedbb068400054e3601;anonymous;0.0933;ReceivingData
Sample;2021-01-26 10:56:54.8524;24;1d63adebd0521fedbb068400054e3601;anonymous;0.1112;ReceivingData
Sample;2021-01-26 10:56:54.9538;33;1d63adebd0521fedbb068400054e3601;anonymous;0.1404;ReceivingData
Sample;2021-01-26 10:56:54.9733;34;1d63adebd0521fedbb068400054e3601;anonymous;0.1902;ReceivingData
Sample;2021-01-26 10:56:55.1149;45;1d63adebd0521fedbb068400054e3601;anonymous;0.2211;ReceivingData
Sample;2021-01-26 10:56:55.1219;46;1d63adebd0521fedbb068400054e3601;anonymous;0.2132;ReceivingData
Sample;2021-01-26 10:56:55.2226;54;1d63adebd0521fedbb068400054e3601;anonymous;0.2243;ReceivingData
Sample;2021-01-26 10:56:55.2505;55;1d63adebd0521fedbb068400054e3601;anonymous;0.2282;ReceivingData
Sample;2021-01-26 10:56:55.3443;62;1d63adebd0521fedbb068400054e3601;anonymous;0.2147;ReceivingData
Sample;2021-01-26 10:56:55.3572;63;1d63adebd0521fedbb068400054e3601;anonymous;0.2406;ReceivingData
Sample;2021-01-26 10:56:55.4570;71;1d63adebd0521fedbb068400054e3601;anonymous;0.2458;ReceivingData
Sample;2021-01-26 10:56:55.4779;72;1d63adebd0521fedbb068400054e3601;anonymous;0.2329;ReceivingData
Sample;2021-01-26 10:56:55.5836;81;1d63adebd0521fedbb068400054e3601;anonymous;0.2323;ReceivingData
Sample;2021-01-26 10:56:55.5896;82;1d63adebd0521fedbb068400054e3601;anonymous;0.2384;ReceivingData
Sample;2021-01-26 10:56:55.6006;83;1d63adebd0521fedbb068400054e3601;anonymous;0.2502;ReceivingData
Sample;2021-01-26 10:56:55.7203;90;1d63adebd0521fedbb068400054e3601;anonymous;0.2884;ReceivingData
Sample;2021-01-26 10:56:55.7232;91;1d63adebd0521fedbb068400054e3601;anonymous;0.2773;ReceivingData
Sample;2021-01-26 10:56:55.8489;101;1d63adebd0521fedbb068400054e3601;anonymous;0.2678;ReceivingData
Sample;2021-01-26 10:56:55.8549;102;1d63adebd0521fedbb068400054e3601;anonymous;0.2791;ReceivingData
Sample;2021-01-26 10:56:55.9782;112;1d63adebd0521fedbb068400054e3601;anonymous;0.2275;ReceivingData
Sample;2021-01-26 10:56:55.9832;113;1d63adebd0521fedbb068400054e3601;anonymous;0.1583;ReceivingData
Sample;2021-01-26 10:56:56.1248;123;1d63adebd0521fedbb068400054e3601;anonymous;0.1174;ReceivingData
Sample;2021-01-26 10:56:56.1617;124;1d63adebd0521fedbb068400054e3601;anonymous;0.1030;ReceivingData
Sample;2021-01-26 10:56:56.2205;128;1d63adebd0521fedbb068400054e3601;anonymous;0.0874;ReceivingData
Sample;2021-01-26 10:56:56.2405;129;1d63adebd0521fedbb068400054e3601;anonymous;0.0854;ReceivingData
Sample;2021-01-26 10:56:56.3552;137;1d63adebd0521fedbb068400054e3601;anonymous;0.0607;ReceivingData
Sample;2021-01-26 10:56:56.3761;138;1d63adebd0521fedbb068400054e3601;anonymous;0.0564;ReceivingData
Sample;2021-01-26 10:56:56.5052;147;1d63adebd0521fedbb068400054e3601;anonymous;0.0441;ReceivingData
Sample;2021-01-26 10:56:56.5142;148;1d63adebd0521fedbb068400054e3601;anonymous;0.0440;ReceivingData
Sample;2021-01-26 10:56:56.6215;158;1d63adebd0521fedbb068400054e3601;anonymous;0.0443;ReceivingData
Sample;2021-01-26 10:56:56.6395;159;1d63adebd0521fedbb068400054e3601;anonymous;0.0490;ReceivingData
Sample;2021-01-26 10:56:56.6555;160;1d63adebd0521fedbb068400054e3601;anonymous;0.0380;ReceivingData
Sample;2021-01-26 10:56:56.7537;167;1d63adebd0521fedbb068400054e3601;anonymous;0.0318;ReceivingData
Sample;2021-01-26 10:56:56.7727;168;1d63adebd0521fedbb068400054e3601;anonymous;0.0287;ReceivingData
Sample;2021-01-26 10:56:56.8934;176;1d63adebd0521fedbb068400054e3601;anonymous;0.0291;ReceivingData
Sample;2021-01-26 10:56:56.9512;177;1d63adebd0521fedbb068400054e3601;anonymous;0.0286;ReceivingData
Sample;2021-01-26 10:56:57.0091;178;1d63adebd0521fedbb068400054e3601;anonymous;0.0321;ReceivingData
Sample;2021-01-26 10:56:57.0170;179;1d63adebd0521fedbb068400054e3601;anonymous;0.0342;ReceivingData
Sample;2021-01-26 10:56:57.1268;187;1d63adebd0521fedbb068400054e3601;anonymous;0.0411;ReceivingData
Sample;2021-01-26 10:56:57.1497;188;1d63adebd0521fedbb068400054e3601;anonymous;0.0484;ReceivingData
Sample;2021-01-26 10:56:57.2664;197;1d63adebd0521fedbb068400054e3601;anonymous;0.0577;ReceivingData
Sample;2021-01-26 10:56:57.2853;198;1d63adebd0521fedbb068400054e3601;anonymous;0.0645;ReceivingData
Sample;2021-01-26 10:56:57.3861;206;1d63adebd0521fedbb068400054e3601;anonymous;0.0737;ReceivingData
Sample;2021-01-26 10:56:57.3930;207;1d63adebd0521fedbb068400054e3601;anonymous;0.0821;ReceivingData
Sample;2021-01-26 10:56:57.5038;215;1d63adebd0521fedbb068400054e3601;anonymous;0.0809;ReceivingData
Sample;2021-01-26 10:56:57.5197;216;1d63adebd0521fedbb068400054e3601;anonymous;0.1214;ReceivingData
Sample;2021-01-26 10:56:57.5257;217;1d63adebd0521fedbb068400054e3601;anonymous;0.1183;ReceivingData
Sample;2021-01-26 10:56:57.6486;225;1d63adebd0521fedbb068400054e3601;anonymous;0.1080;ReceivingData
Sample;2021-01-26 10:56:57.6576;226;1d63adebd0521fedbb068400054e3601;anonymous;0.1367;ReceivingData
Sample;2021-01-26 10:56:57.7852;236;1d63adebd0521fedbb068400054e3601;anonymous;0.1755;ReceivingData
Sample;2021-01-26 10:56:57.7902;237;1d63adebd0521fedbb068400054e3601;anonymous;0.2041;ReceivingData
Sample;2021-01-26 10:56:57.8833;244;1d63adebd0521fedbb068400054e3601;anonymous;0.1933;ReceivingData
Sample;2021-01-26 10:56:57.8893;245;1d63adebd0521fedbb068400054e3601;anonymous;0.2091;ReceivingData
Sample;2021-01-26 10:56:58.0479;256;1d63adebd0521fedbb068400054e3601;anonymous;0.2245;ReceivingData
Sample;2021-01-26 10:56:58.0548;257;1d63adebd0521fedbb068400054e3601;anonymous;0.2342;ReceivingData
Sample;2021-01-26 10:56:58.1636;265;1d63adebd0521fedbb068400054e3601;anonymous;0.2352;ReceivingData
Sample;2021-01-26 10:56:58.1845;266;1d63adebd0521fedbb068400054e3601;anonymous;0.2385;ReceivingData
Sample;2021-01-26 10:56:58.2802;273;1d63adebd0521fedbb068400054e3601;anonymous;0.2323;ReceivingData
Sample;2021-01-26 10:56:58.2882;274;1d63adebd0521fedbb068400054e3601;anonymous;0.2442;ReceivingData
Sample;2021-01-26 10:56:58.3889;281;1d63adebd0521fedbb068400054e3601;anonymous;0.2415;ReceivingData
Sample;2021-01-26 10:56:58.4029;282;1d63adebd0521fedbb068400054e3601;anonymous;0.2307;ReceivingData
Sample;2021-01-26 10:56:58.5336;293;1d63adebd0521fedbb068400054e3601;anonymous;0.2570;ReceivingData
Sample;2021-01-26 10:56:58.5515;294;1d63adebd0521fedbb068400054e3601;anonymous;0.2765;ReceivingData
Sample;2021-01-26 10:56:58.5575;295;1d63adebd0521fedbb068400054e3601;anonymous;0.3008;ReceivingData
Sample;2021-01-26 10:56:58.6772;303;1d63adebd0521fedbb068400054e3601;anonymous;0.2717;ReceivingData
Sample;2021-01-26 10:56:58.6871;304;1d63adebd0521fedbb068400054e3601;anonymous;0.2777;ReceivingData
Sample;2021-01-26 10:56:58.7889;312;1d63adebd0521fedbb068400054e3601;anonymous;0.2969;ReceivingData
Sample;2021-01-26 10:56:58.8008;313;1d63adebd0521fedbb068400054e3601;anonymous;0.3238;ReceivingData
Sample;2021-01-26 10:56:58.9255;322;1d63adebd0521fedbb068400054e3601;anonymous;0.3340;ReceivingData
Sample;2021-01-26 10:56:58.9534;323;1d63adebd0521fedbb068400054e3601;anonymous;0.3453;ReceivingData
Sample;2021-01-26 10:56:59.0661;332;1d63adebd0521fedbb068400054e3601;anonymous;0.3681;ReceivingData
Sample;2021-01-26 10:56:59.0841;333;1d63adebd0521fedbb068400054e3601;anonymous;0.4315;ReceivingData
Sample;2021-01-26 10:56:59.1718;340;1d63adebd0521fedbb068400054e3601;anonymous;0.4467;ReceivingData
Sample;2021-01-26 10:56:59.1788;341;1d63adebd0521fedbb068400054e3601;anonymous;0.4370;ReceivingData
Sample;2021-01-26 10:56:59.3040;351;1d63adebd0521fedbb068400054e3601;anonymous;0.3941;ReceivingData
Sample;2021-01-26 10:56:59.3190;352;1d63adebd0521fedbb068400054e3601;anonymous;0.3888;ReceivingData
Sample;2021-01-26 10:56:59.4207;359;1d63adebd0521fedbb068400054e3601;anonymous;0.4414;ReceivingData
Sample;2021-01-26 10:56:59.4387;360;1d63adebd0521fedbb068400054e3601;anonymous;0.4765;ReceivingData
Sample;2021-01-26 10:56:59.4457;361;1d63adebd0521fedbb068400054e3601;anonymous;0.4356;ReceivingData
Sample;2021-01-26 10:56:59.5484;369;1d63adebd0521fedbb068400054e3601;anonymous;0.3862;ReceivingData
Sample;2021-01-26 10:56:59.5583;370;1d63adebd0521fedbb068400054e3601;anonymous;0.3860;ReceivingData
Sample;2021-01-26 10:56:59.6900;381;1d63adebd0521fedbb068400054e3601;anonymous;0.3800;ReceivingData
Sample;2021-01-26 10:56:59.7159;382;1d63adebd0521fedbb068400054e3601;anonymous;0.3849;ReceivingData
Sample;2021-01-26 10:56:59.8386;391;1d63adebd0521fedbb068400054e3601;anonymous;0.3459;ReceivingData
Sample;2021-01-26 10:56:59.8446;392;1d63adebd0521fedbb068400054e3601;anonymous;0.3363;ReceivingData
Sample;2021-01-26 10:56:59.9373;399;1d63adebd0521fedbb068400054e3601;anonymous;0.3250;ReceivingData
Sample;2021-01-26 10:56:59.9463;400;1d63adebd0521fedbb068400054e3601;anonymous;0.3205;ReceivingData
Sample;2021-01-26 10:57:00.0770;409;1d63adebd0521fedbb068400054e3601;anonymous;0.3124;ReceivingData
Sample;2021-01-26 10:57:00.0839;410;1d63adebd0521fedbb068400054e3601;anonymous;0.2917;ReceivingData
Sample;2021-01-26 10:57:00.2066;419;1d63adebd0521fedbb068400054e3601;anonymous;0.3067;ReceivingData
Sample;2021-01-26 10:57:00.2136;420;1d63adebd0521fedbb068400054e3601;anonymous;0.2924;ReceivingData
Sample;2021-01-26 10:57:00.3163;428;1d63adebd0521fedbb068400054e3601;anonymous;0.2849;ReceivingData
Sample;2021-01-26 10:57:00.3223;429;1d63adebd0521fedbb068400054e3601;anonymous;0.2930;ReceivingData
Sample;2021-01-26 10:57:00.4869;441;1d63adebd0521fedbb068400054e3601;anonymous;0.3153;ReceivingData
Sample;2021-01-26 10:57:00.5048;442;1d63adebd0521fedbb068400054e3601;anonymous;0.3217;ReceivingData
Sample;2021-01-26 10:57:00.5148;443;1d63adebd0521fedbb068400054e3601;anonymous;0.3388;ReceivingData
Sample;2021-01-26 10:57:00.5796;449;1d63adebd0521fedbb068400054e3601;anonymous;0.3230;ReceivingData
Sample;2021-01-26 10:57:00.5876;450;1d63adebd0521fedbb068400054e3601;anonymous;0.3290;ReceivingData
Sample;2021-01-26 10:57:00.6933;459;1d63adebd0521fedbb068400054e3601;anonymous;0.3578;ReceivingData
Sample;2021-01-26 10:57:00.7173;460;1d63adebd0521fedbb068400054e3601;anonymous;0.3627;ReceivingData
Sample;2021-01-26 10:57:00.8226;469;1d63adebd0521fedbb068400054e3601;anonymous;0.3798;ReceivingData
Sample;2021-01-26 10:57:00.8455;470;1d63adebd0521fedbb068400054e3601;anonymous;0.4133;ReceivingData
Sample;2021-01-26 10:57:00.9548;478;1d63adebd0521fedbb068400054e3601;anonymous;0.4695;ReceivingData
Sample;2021-01-26 10:57:00.9717;479;1d63adebd0521fedbb068400054e3601;anonymous;0.4297;ReceivingData
Sample;2021-01-26 10:57:01.0838;487;1d63adebd0521fedbb068400054e3601;anonymous;0.4243;ReceivingData
Sample;2021-01-26 10:57:01.0897;488;1d63adebd0521fedbb068400054e3601;anonymous;0.4194;ReceivingData
Sample;2021-01-26 10:57:01.2543;499;1d63adebd0521fedbb068400054e3601;anonymous;0.4404;ReceivingData
Sample;2021-01-26 10:57:01.2623;500;1d63adebd0521fedbb068400054e3601;anonymous;0.4341;ReceivingData
Sample;2021-01-26 10:57:01.3570;507;1d63adebd0521fedbb068400054e3601;anonymous;0.4685;ReceivingData
Sample;2021-01-26 10:57:01.3820;508;1d63adebd0521fedbb068400054e3601;anonymous;0.4755;ReceivingData
Sample;2021-01-26 10:57:01.3870;509;1d63adebd0521fedbb068400054e3601;anonymous;0.4618;ReceivingData
Sample;2021-01-26 10:57:01.4827;515;1d63adebd0521fedbb068400054e3601;anonymous;0.4464;ReceivingData
Sample;2021-01-26 10:57:01.4887;516;1d63adebd0521fedbb068400054e3601;anonymous;0.4074;ReceivingData
Sample;2021-01-26 10:57:01.6104;524;1d63adebd0521fedbb068400054e3601;anonymous;0.4275;ReceivingData
Sample;2021-01-26 10:57:01.6153;525;1d63adebd0521fedbb068400054e3601;anonymous;0.4396;ReceivingData
Sample;2021-01-26 10:57:01.7211;533;1d63adebd0521fedbb068400054e3601;anonymous;0.4486;ReceivingData
Sample;2021-01-26 10:57:01.7310;534;1d63adebd0521fedbb068400054e3601;anonymous;0.4306;ReceivingData
Sample;2021-01-26 10:57:01.8707;543;1d63adebd0521fedbb068400054e3601;anonymous;0.3919;ReceivingData
Sample;2021-01-26 10:57:01.8786;544;1d63adebd0521fedbb068400054e3601;anonymous;0.3617;ReceivingData
Sample;2021-01-26 10:57:01.9973;554;1d63adebd0521fedbb068400054e3601;anonymous;0.3560;ReceivingData
Sample;2021-01-26 10:57:02.0123;555;1d63adebd0521fedbb068400054e3601;anonymous;0.3888;ReceivingData
Sample;2021-01-26 10:57:02.1230;563;1d63adebd0521fedbb068400054e3601;anonymous;0.3777;ReceivingData
Sample;2021-01-26 10:57:02.1410;564;1d63adebd0521fedbb068400054e3601;anonymous;0.3671;ReceivingData
Sample;2021-01-26 10:57:02.2555;573;1d63adebd0521fedbb068400054e3601;anonymous;0.4361;ReceivingData
Sample;2021-01-26 10:57:02.2684;574;1d63adebd0521fedbb068400054e3601;anonymous;0.4569;ReceivingData
Sample;2021-01-26 10:57:02.3522;581;1d63adebd0521fedbb068400054e3601;anonymous;0.4495;ReceivingData
Sample;2021-01-26 10:57:02.3582;582;1d63adebd0521fedbb068400054e3601;anonymous;0.4328;ReceivingData
Sample;2021-01-26 10:57:02.3801;583;1d63adebd0521fedbb068400054e3601;anonymous;0.4240;ReceivingData
Sample;2021-01-26 10:57:02.5048;591;1d63adebd0521fedbb068400054e3601;anonymous;0.4268;ReceivingData
Sample;2021-01-26 10:57:02.5178;592;1d63adebd0521fedbb068400054e3601;anonymous;0.4477;ReceivingData
Sample;2021-01-26 10:57:02.6205;600;1d63adebd0521fedbb068400054e3601;anonymous;0.4150;ReceivingData
Sample;2021-01-26 10:57:02.6394;601;1d63adebd0521fedbb068400054e3601;anonymous;0.4008;ReceivingData
Sample;2021-01-26 10:57:02.7461;609;1d63adebd0521fedbb068400054e3601;anonymous;0.3965;ReceivingData
Sample;2021-01-26 10:57:02.7541;610;1d63adebd0521fedbb068400054e3601;anonymous;0.3882;ReceivingData
Sample;2021-01-26 10:57:02.8758;618;1d63adebd0521fedbb068400054e3601;anonymous;0.4102;ReceivingData
Sample;2021-01-26 10:57:02.8798;619;1d63adebd0521fedbb068400054e3601;anonymous;0.4240;ReceivingData
Sample;2021-01-26 10:57:03.0264;630;1d63adebd0521fedbb068400054e3601;anonymous;0.4657;ReceivingData
Sample;2021-01-26 10:57:03.0474;631;1d63adebd0521fedbb068400054e3601;anonymous;0.4548;ReceivingData
Sample;2021-01-26 10:57:03.1371;638;1d63adebd0521fedbb068400054e3601;anonymous;0.4271;ReceivingData
Sample;2021-01-26 10:57:03.1471;639;1d63adebd0521fedbb068400054e3601;anonymous;0.3193;ReceivingData
Sample;2021-01-26 10:57:03.2568;648;1d63adebd0521fedbb068400054e3601;anonymous;0.2418;ReceivingData
Sample;2021-01-26 10:57:03.2827;649;1d63adebd0521fedbb068400054e3601;anonymous;0.2603;ReceivingData
Sample;2021-01-26 10:57:03.2897;650;1d63adebd0521fedbb068400054e3601;anonymous;0.2688;ReceivingData
Sample;2021-01-26 10:57:03.4094;658;1d63adebd0521fedbb068400054e3601;anonymous;0.2514;ReceivingData
Sample;2021-01-26 10:57:03.4184;659;1d63adebd0521fedbb068400054e3601;anonymous;0.2494;ReceivingData
Sample;2021-01-26 10:57:03.5231;666;1d63adebd0521fedbb068400054e3601;anonymous;0.2795;ReceivingData
Sample;2021-01-26 10:57:03.5420;667;1d63adebd0521fedbb068400054e3601;anonymous;0.2827;ReceivingData
Sample;2021-01-26 10:57:03.6507;675;1d63adebd0521fedbb068400054e3601;anonymous;0.2826;ReceivingData
Sample;2021-01-26 10:57:03.6607;676;1d63adebd0521fedbb068400054e3601;anonymous;0.2999;ReceivingData
Sample;2021-01-26 10:57:03.7760;684;1d63adebd0521fedbb068400054e3601;anonymous;0.3060;ReceivingData
Sample;2021-01-26 10:57:03.7859;685;1d63adebd0521fedbb068400054e3601;anonymous;0.3795;ReceivingData
Sample;2021-01-26 10:57:03.9184;694;1d63adebd0521fedbb068400054e3601;anonymous;0.3755;ReceivingData
Sample;2021-01-26 10:57:03.9304;695;1d63adebd0521fedbb068400054e3601;anonymous;0.3450;ReceivingData
Sample;2021-01-26 10:57:04.0386;702;1d63adebd0521fedbb068400054e3601;anonymous;0.3250;ReceivingData
Sample;2021-01-26 10:57:04.0485;703;1d63adebd0521fedbb068400054e3601;anonymous;0.3558;ReceivingData
Sample;2021-01-26 10:57:04.1503;711;1d63adebd0521fedbb068400054e3601;anonymous;0.4015;ReceivingData
Sample;2021-01-26 10:57:04.1533;712;1d63adebd0521fedbb068400054e3601;anonymous;0.5640;ReceivingData
Sample;2021-01-26 10:57:04.2859;722;1d63adebd0521fedbb068400054e3601;anonymous;0.6563;ReceivingData
Sample;2021-01-26 10:57:04.2879;723;1d63adebd0521fedbb068400054e3601;anonymous;0.6583;ReceivingData
Sample;2021-01-26 10:57:04.3088;724;1d63adebd0521fedbb068400054e3601;anonymous;0.6527;ReceivingData
Sample;2021-01-26 10:57:04.4126;732;1d63adebd0521fedbb068400054e3601;anonymous;0.5923;ReceivingData
Sample;2021-01-26 10:57:04.4156;733;1d63adebd0521fedbb068400054e3601;anonymous;0.5625;ReceivingData
Sample;2021-01-26 10:57:04.5462;742;1d63adebd0521fedbb068400054e3601;anonymous;0.5363;ReceivingData
Sample;2021-01-26 10:57:04.5582;743;1d63adebd0521fedbb068400054e3601;anonymous;0.5432;ReceivingData
Sample;2021-01-26 10:57:04.6539;752;1d63adebd0521fedbb068400054e3601;anonymous;0.5305;ReceivingData
Sample;2021-01-26 10:57:04.6809;753;1d63adebd0521fedbb068400054e3601;anonymous;0.5126;ReceivingData
Sample;2021-01-26 10:57:04.7916;762;1d63adebd0521fedbb068400054e3601;anonymous;0.4809;ReceivingData
Sample;2021-01-26 10:57:04.8115;763;1d63adebd0521fedbb068400054e3601;anonymous;0.4411;ReceivingData
Sample;2021-01-26 10:57:04.9212;771;1d63adebd0521fedbb068400054e3601;anonymous;0.4301;ReceivingData
Sample;2021-01-26 10:57:04.9362;772;1d63adebd0521fedbb068400054e3601;anonymous;0.4450;ReceivingData
Sample;2021-01-26 10:57:05.0779;782;1d63adebd0521fedbb068400054e3601;anonymous;0.4404;ReceivingData
Sample;2021-01-26 10:57:05.0868;783;1d63adebd0521fedbb068400054e3601;anonymous;0.4475;ReceivingData
Sample;2021-01-26 10:57:05.1798;789;1d63adebd0521fedbb068400054e3601;anonymous;0.4271;ReceivingData
Sample;2021-01-26 10:57:05.1828;790;1d63adebd0521fedbb068400054e3601;anonymous;0.3693;ReceivingData
Sample;2021-01-26 10:57:05.2028;791;1d63adebd0521fedbb068400054e3601;anonymous;0.3529;ReceivingData
Sample;2021-01-26 10:57:05.3055;797;1d63adebd0521fedbb068400054e3601;anonymous;0.3676;ReceivingData
Sample;2021-01-26 10:57:05.3195;798;1d63adebd0521fedbb068400054e3601;anonymous;0.3783;ReceivingData
Sample;2021-01-26 10:57:05.4717;808;1d63adebd0521fedbb068400054e3601;anonymous;0.4490;ReceivingData
Sample;2021-01-26 10:57:05.4847;809;1d63adebd0521fedbb068400054e3601;anonymous;0.4256;ReceivingData
Sample;2021-01-26 10:57:05.5715;815;1d63adebd0521fedbb068400054e3601;anonymous;0.4349;ReceivingData
Sample;2021-01-26 10:57:05.5795;816;1d63adebd0521fedbb068400054e3601;anonymous;0.4438;ReceivingData
Sample;2021-01-26 10:57:05.7160;826;1d63adebd0521fedbb068400054e3601;anonymous;0.4771;ReceivingData
Sample;2021-01-26 10:57:05.7250;827;1d63adebd0521fedbb068400054e3601;anonymous;0.5009;ReceivingData
Sample;2021-01-26 10:57:05.8213;834;1d63adebd0521fedbb068400054e3601;anonymous;0.4974;ReceivingData
Sample;2021-01-26 10:57:05.8393;835;1d63adebd0521fedbb068400054e3601;anonymous;0.4632;ReceivingData
Sample;2021-01-26 10:57:05.9520;843;1d63adebd0521fedbb068400054e3601;anonymous;0.4510;ReceivingData
Sample;2021-01-26 10:57:05.9709;844;1d63adebd0521fedbb068400054e3601;anonymous;0.4851;ReceivingData
Sample;2021-01-26 10:57:06.0697;850;1d63adebd0521fedbb068400054e3601;anonymous;0.4845;ReceivingData
Sample;2021-01-26 10:57:06.0836;851;1d63adebd0521fedbb068400054e3601;anonymous;0.5167;ReceivingData
Sample;2021-01-26 10:57:06.2063;859;1d63adebd0521fedbb068400054e3601;anonymous;0.5008;ReceivingData
Sample;2021-01-26 10:57:06.2113;860;1d63adebd0521fedbb068400054e3601;anonymous;0.5202;ReceivingData
Sample;2021-01-26 10:57:06.2153;861;1d63adebd0521fedbb068400054e3601;anonymous;0.5106;ReceivingData
Sample;2021-01-26 10:57:06.3499;870;1d63adebd0521fedbb068400054e3601;anonymous;0.5119;ReceivingData
Sample;2021-01-26 10:57:06.3549;871;1d63adebd0521fedbb068400054e3601;anonymous;0.5288;ReceivingData
Sample;2021-01-26 10:57:06.4506;877;1d63adebd0521fedbb068400054e3601;anonymous;0.5031;ReceivingData
Sample;2021-01-26 10:57:06.4536;878;1d63adebd0521fedbb068400054e3601;anonymous;0.4900;ReceivingData
Sample;2021-01-26 10:57:06.5833;887;1d63adebd0521fedbb068400054e3601;anonymous;0.4900;ReceivingData
Sample;2021-01-26 10:57:06.6013;888;1d63adebd0521fedbb068400054e3601;anonymous;0.4440;ReceivingData
Sample;2021-01-26 10:57:06.7199;896;1d63adebd0521fedbb068400054e3601;anonymous;0.4338;ReceivingData
