Event;Timestamp;Framecount;SessionID;Email;BCIState;InputWindow;InputWindowOrder;InterTrialTimer;InputWindowTimer;GameState;CurrentFabAlarm;AccInputTrialsLeft;AccInputRate;FabInputTrialsLeft;FabInputRate;RejInputTrialsLeft;RejInputRate;AssistSuccessTrialsLeft;AssistSuccessRate;AssistFailTrialsLeft;AssistFailRate;ExplicitShamTrialsLeft;ExplicitShamRate;TrialResult;TrialGoal;BCIConfidence;InputNumber
BCIStateUpdated;2021-01-26 10:51:18.9239;1;6f2da200587eab71c487654822b331d6;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-01-26 10:51:21.4433;104;6f2da200587eab71c487654822b331d6;anonymous;ReceivingHeader;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-01-26 10:51:21.5161;105;6f2da200587eab71c487654822b331d6;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GameRunning;2021-01-26 10:51:23.1917;210;6f2da200587eab71c487654822b331d6;anonymous;NULL;Closed;0;0.0000;0.0000;Running;0.0000;10;0.0000;6;0.0000;4;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
InputWindowChange;2021-01-26 10:51:31.8841;836;6f2da200587eab71c487654822b331d6;anonymous;NULL;Open;0;0.0000;0.0000;Running;2.8984;10;0.0000;6;0.0000;4;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
InputWindowChange;2021-01-26 10:51:35.8795;1149;6f2da200587eab71c487654822b331d6;anonymous;NULL;Closed;0;0.0105;0.0000;Running;2.8984;10;0.0000;6;0.0000;4;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-26 10:51:35.8845;1149;6f2da200587eab71c487654822b331d6;anonymous;NULL;Closed;0;0.0105;0.0000;Running;2.8984;11;0.0000;6;0.0000;2;0.0500;0;0.0000;0;0.0000;0;0.0000;RejInput;AccInput;NULL;NULL
MotorImagery;2021-01-26 10:51:45.6153;1852;6f2da200587eab71c487654822b331d6;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7137;1
Rest;2021-01-26 10:51:46.1279;1889;6f2da200587eab71c487654822b331d6;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6727;1
InputWindowChange;2021-01-26 10:51:46.2406;1897;6f2da200587eab71c487654822b331d6;anonymous;NULL;Open;1;0.0105;0.0000;Running;2.8777;11;0.0000;6;0.0000;2;0.0500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
InputWindowChange;2021-01-26 10:51:50.2441;2191;6f2da200587eab71c487654822b331d6;anonymous;NULL;Closed;1;0.0222;0.0000;Running;2.8777;11;0.0000;6;0.0000;2;0.0500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-26 10:51:50.2451;2191;6f2da200587eab71c487654822b331d6;anonymous;NULL;Closed;1;0.0222;0.0000;Running;2.8777;12;0.0000;6;0.0000;0;0.1000;0;0.0000;0;0.0000;0;0.0000;RejInput;AccInput;NULL;NULL
InputWindowChange;2021-01-26 10:52:01.2307;2988;6f2da200587eab71c487654822b331d6;anonymous;NULL;Open;2;0.0222;0.0000;Running;1.4985;12;0.0000;6;0.0000;0;0.1000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
MotorImagery;2021-01-26 10:52:01.7144;3020;6f2da200587eab71c487654822b331d6;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7057;2
InputWindowChange;2021-01-26 10:52:01.7154;3020;6f2da200587eab71c487654822b331d6;anonymous;NULL;Closed;2;-3.4755;0.0000;Running;1.4985;12;0.0000;6;0.0000;0;0.1000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-26 10:52:01.7164;3020;6f2da200587eab71c487654822b331d6;anonymous;NULL;Closed;2;-3.4755;0.0000;Running;1.4985;11;0.0500;6;0.0000;0;0.1000;0;0.0000;0;0.0000;0;0.0000;AccInput;AccInput;NULL;NULL
Rest;2021-01-26 10:52:01.7413;3021;6f2da200587eab71c487654822b331d6;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6663;2
MotorImagery;2021-01-26 10:52:01.9802;3039;6f2da200587eab71c487654822b331d6;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7041;3
Rest;2021-01-26 10:52:03.0280;3113;6f2da200587eab71c487654822b331d6;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6466;3
InputWindowChange;2021-01-26 10:52:12.5098;3782;6f2da200587eab71c487654822b331d6;anonymous;NULL;Open;3;-3.4755;0.0000;Running;2.3885;11;0.0500;6;0.0000;0;0.1000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
InputWindowChange;2021-01-26 10:52:16.5009;4068;6f2da200587eab71c487654822b331d6;anonymous;NULL;Closed;3;-3.4563;0.0000;Running;2.3885;11;0.0500;6;0.0000;0;0.1000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-26 10:52:16.5088;4068;6f2da200587eab71c487654822b331d6;anonymous;NULL;Closed;3;-3.4563;0.0000;Running;2.3885;12;0.0500;6;0.0000;0;0.1500;0;0.0000;0;0.0000;0;0.0000;RejInput;AccInput;NULL;NULL
InputWindowChange;2021-01-26 10:52:27.6623;4879;6f2da200587eab71c487654822b331d6;anonymous;NULL;Open;4;-3.4563;0.0000;Running;1.5493;12;0.0500;6;0.0000;0;0.1500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
MotorImagery;2021-01-26 10:52:30.3540;5076;6f2da200587eab71c487654822b331d6;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7120;4
InputWindowChange;2021-01-26 10:52:30.3540;5076;6f2da200587eab71c487654822b331d6;anonymous;NULL;Closed;4;-4.7526;0.0000;Running;1.5493;12;0.0500;6;0.0000;0;0.1500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-26 10:52:30.3550;5076;6f2da200587eab71c487654822b331d6;anonymous;NULL;Closed;4;-4.7526;0.0000;Running;1.5493;11;0.1000;6;0.0000;0;0.1500;0;0.0000;0;0.0000;0;0.0000;AccInput;AccInput;NULL;NULL
Rest;2021-01-26 10:52:30.6084;5094;6f2da200587eab71c487654822b331d6;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6689;4
InputWindowChange;2021-01-26 10:52:40.0439;5767;6f2da200587eab71c487654822b331d6;anonymous;NULL;Open;5;-4.7526;0.0000;Running;1.7056;11;0.1000;6;0.0000;0;0.1500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
MotorImagery;2021-01-26 10:52:41.9788;5907;6f2da200587eab71c487654822b331d6;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7611;5
InputWindowChange;2021-01-26 10:52:41.9798;5907;6f2da200587eab71c487654822b331d6;anonymous;NULL;Closed;5;-6.7981;0.0000;Running;1.7056;11;0.1000;6;0.0000;0;0.1500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-26 10:52:41.9848;5907;6f2da200587eab71c487654822b331d6;anonymous;NULL;Closed;5;-6.7981;0.0000;Running;1.7056;10;0.1500;6;0.0000;0;0.1500;0;0.0000;0;0.0000;0;0.0000;AccInput;AccInput;NULL;NULL
Rest;2021-01-26 10:52:42.8948;5970;6f2da200587eab71c487654822b331d6;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6958;5
MotorImagery;2021-01-26 10:52:46.0484;6198;6f2da200587eab71c487654822b331d6;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7047;6
Rest;2021-01-26 10:52:46.3209;6217;6f2da200587eab71c487654822b331d6;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6880;6
InputWindowChange;2021-01-26 10:52:51.8808;6614;6f2da200587eab71c487654822b331d6;anonymous;NULL;Open;6;-6.7981;0.0000;Running;2.1480;10;0.1500;6;0.0000;0;0.1500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
InputWindowChange;2021-01-26 10:52:55.8725;6901;6f2da200587eab71c487654822b331d6;anonymous;NULL;Closed;6;-6.7825;0.0000;Running;2.1480;10;0.1500;6;0.0000;0;0.1500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-26 10:52:55.8776;6901;6f2da200587eab71c487654822b331d6;anonymous;NULL;Closed;6;-6.7825;0.0000;Running;2.1480;11;0.1500;6;0.0000;0;0.2000;0;0.0000;0;0.0000;0;0.0000;RejInput;AccInput;NULL;NULL
MotorImagery;2021-01-26 10:52:59.9103;7204;6f2da200587eab71c487654822b331d6;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7245;7
